Date,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
2020-2-15,0.0,0.0,0.0,0.0,0.0
2020-2-16,0.0,0.0,0.0,0.0,0.0
2020-2-17,0.0,0.0,0.0,0.0,0.0
2020-2-18,0.0,0.0,0.0,0.0,0.0
2020-2-19,0.0,0.0,0.0,0.0,0.0
2020-2-20,0.0,0.0,0.0,0.0,0.0
2020-2-21,0.0,0.0,0.0,0.0,0.0
2020-2-22,0.0,0.0,0.0,0.0,0.0
2020-2-23,0.0,0.0,0.0,0.0,0.0
2020-2-24,0.0,0.0,0.0,0.0,0.0
2020-2-25,1.0,0.0,1.0,0.0,0.0
2020-2-26,1.0,0.0,1.0,0.0,0.0
2020-2-27,1.0,0.0,1.0,0.0,0.0
2020-2-28,1.0,0.0,1.0,0.0,0.0
2020-2-29,2.0,1.0,2.0,0.0,0.0
2020-3-01,2.0,0.0,2.0,0.0,0.0
2020-3-02,2.0,0.0,2.0,0.0,0.0
2020-3-03,2.0,0.0,2.0,0.0,0.0
2020-3-04,3.0,1.0,3.0,0.0,0.0
2020-3-05,8.0,5.0,8.0,0.0,0.0
2020-3-06,13.0,5.0,13.0,0.0,0.0
2020-3-07,19.0,6.0,19.0,0.0,0.0
2020-3-08,25.0,6.0,25.0,0.0,0.0
2020-3-09,25.0,0.0,25.0,0.0,0.0
2020-3-10,34.0,9.0,34.0,0.0,0.0
2020-3-11,52.0,18.0,52.0,0.0,0.0
2020-3-12,77.0,25.0,77.0,0.0,0.0
2020-3-13,151.0,74.0,150.0,0.0,0.0
2020-3-14,151.0,0.0,150.0,0.0,0.0
2020-3-15,200.0,49.0,198.0,0.0,0.0
2020-3-16,234.0,34.0,232.0,0.0,0.0
2020-3-17,346.0,112.0,343.0,1.0,1.0
2020-3-18,529.0,183.0,523.0,4.0,3.0
2020-3-19,640.0,111.0,631.0,7.0,3.0
2020-3-20,970.0,330.0,957.0,11.0,4.0
2020-3-21,1178.0,208.0,1158.0,18.0,7.0
2020-3-22,1546.0,368.0,1519.0,25.0,7.0
2020-3-23,1924.0,378.0,1888.0,34.0,9.0
2020-3-24,2247.0,323.0,2199.0,46.0,12.0
2020-3-25,2554.0,307.0,2493.0,59.0,13.0
2020-3-26,2986.0,432.0,2903.0,77.0,18.0
2020-3-27,3419.0,433.0,3321.0,92.0,15.0
2020-3-28,3907.0,488.0,3787.0,114.0,22.0
2020-3-29,4259.0,352.0,4117.0,136.0,22.0
2020-3-30,4633.0,374.0,4350.0,163.0,27.0
2020-3-31,5721.0,1088.0,5393.0,201.0,38.0
2020-4-01,6885.0,1164.0,6516.0,242.0,41.0
2020-4-02,8050.0,1165.0,7599.0,324.0,82.0
2020-4-03,9201.0,1151.0,8711.0,363.0,39.0
2020-4-04,10368.0,1167.0,9796.0,445.0,82.0
2020-4-05,11263.0,895.0,10650.0,486.0,41.0
2020-4-06,12193.0,930.0,11502.0,564.0,78.0
2020-4-07,14046.0,1853.0,13233.0,686.0,122.0
2020-4-08,16203.0,2157.0,15256.0,820.0,134.0
2020-4-09,18162.0,1959.0,17035.0,954.0,134.0
2020-4-10,19808.0,1646.0,18567.0,1068.0,114.0
2020-4-11,20982.0,1174.0,19669.0,1140.0,72.0
2020-4-12,22214.0,1232.0,20818.0,1223.0,83.0
2020-4-13,23454.0,1240.0,21953.0,1328.0,105.0
2020-4-14,25288.0,1834.0,9730.0,1532.0,204.0
2020-4-15,28640.0,3352.0,12857.0,1757.0,225.0
2020-4-16,30716.0,2076.0,14743.0,1947.0,190.0
2020-4-17,33719.0,3003.0,17552.0,2141.0,194.0
2020-4-18,36763.0,3044.0,20376.0,2361.0,220.0
2020-4-19,38697.0,1934.0,14105.0,2462.0,101.0
2020-4-20,40789.0,2092.0,16072.0,2587.0,125.0
2020-4-21,43128.0,2339.0,16062.0,2741.0,154.0
2020-4-22,45809.0,2681.0,17585.0,2906.0,165.0
2020-4-23,49549.0,3740.0,19663.0,3313.0,407.0
2020-4-24,53056.0,3507.0,21731.0,3670.0,357.0
2020-4-25,59265.0,6209.0,26060.0,4045.0,375.0
2020-4-26,62932.0,3667.0,28509.0,4271.0,226.0
2020-4-27,66578.0,3646.0,30893.0,4543.0,272.0
2020-4-28,72984.0,6406.0,35377.0,5063.0,520.0
2020-4-29,79454.0,6470.0,39811.0,5511.0,448.0
2020-4-30,85480.0,6026.0,43644.0,5901.0,390.0
2020-5-01,92217.0,6737.0,47768.0,6410.0,509.0
2020-5-02,96672.0,4455.0,48985.0,6750.0,340.0
2020-5-03,101266.0,4594.0,51250.0,7025.0,275.0
2020-5-04,108394.0,7128.0,55236.0,7343.0,318.0
2020-5-05,114851.0,6457.0,58709.0,7921.0,578.0
2020-5-06,126762.0,11911.0,66804.0,8588.0,667.0
2020-5-07,135855.0,9093.0,71317.0,9188.0,600.0
2020-5-08,146067.0,10212.0,76778.0,9992.0,804.0
2020-5-09,156248.0,10181.0,83907.0,10656.0,664.0
2020-5-10,162894.0,6646.0,86814.0,11123.0,467.0
2020-5-11,169346.0,6452.0,90337.0,11625.0,502.0
2020-5-12,177815.0,8469.0,92814.0,12404.0,779.0
2020-5-13,189384.0,11569.0,97802.0,13158.0,754.0
2020-5-14,203162.0,13778.0,109690.0,13993.0,835.0
2020-5-15,218486.0,15324.0,118699.0,14817.0,824.0
2020-5-16,233423.0,14937.0,128118.0,15633.0,816.0
2020-5-17,241371.0,7948.0,131131.0,16118.0,485.0
2020-5-18,255677.0,14306.0,138365.0,16853.0,735.0
2020-5-19,272214.0,16537.0,147437.0,17983.0,1130.0
2020-5-20,293712.0,21498.0,158135.0,18894.0,911.0
2020-5-21,311298.0,17586.0,165256.0,20082.0,1188.0
2020-5-22,331292.0,19994.0,174814.0,21048.0,966.0
2020-5-23,347820.0,16528.0,183220.0,22013.0,965.0
2020-5-24,364060.0,16240.0,191433.0,22716.0,703.0
2020-5-25,377127.0,13067.0,199772.0,23522.0,806.0
2020-5-26,392837.0,15710.0,209695.0,24549.0,1027.0
2020-5-27,415165.0,22328.0,222821.0,25697.0,1148.0
2020-5-28,439346.0,24181.0,219401.0,26764.0,1067.0
2020-5-29,468908.0,29562.0,247783.0,27944.0,1180.0
2020-5-30,499047.0,30139.0,264842.0,28834.0,890.0
2020-5-31,515476.0,16429.0,279607.0,29314.0,480.0
2020-6-01,530050.0,14574.0,288924.0,30046.0,732.0
2020-6-02,557346.0,27296.0,285441.0,31278.0,1232.0
2020-6-03,584692.0,27346.0,286013.0,32547.0,1269.0
2020-6-04,616621.0,31929.0,307585.0,34039.0,1492.0
2020-6-05,646794.0,30173.0,323095.0,35047.0,1008.0
2020-6-06,674409.0,27615.0,336368.0,35957.0,910.0
2020-6-07,692807.0,18398.0,354224.0,36499.0,542.0
2020-6-08,711755.0,18948.0,348841.0,37312.0,813.0
2020-6-09,742990.0,31235.0,378891.0,38497.0,1185.0
2020-6-10,776131.0,33141.0,356034.0,39797.0,1300.0
2020-6-11,806633.0,30502.0,368883.0,41058.0,1261.0
2020-6-12,830916.0,24283.0,392323.0,41901.0,843.0
2020-6-13,851836.0,20920.0,381435.0,42791.0,890.0
2020-6-14,868943.0,17107.0,388042.0,43389.0,598.0
2020-6-15,892646.0,23703.0,394960.0,44118.0,729.0
2020-6-16,929970.0,37324.0,419740.0,45456.0,1338.0
2020-6-17,961484.0,31514.0,411312.0,46665.0,1209.0
2020-6-18,984562.0,23078.0,433186.0,47869.0,1204.0
2020-6-19,1039839.0,55277.0,470389.0,49090.0,1221.0
2020-6-20,1071449.0,31610.0,478205.0,50058.0,968.0
2020-6-21,1088321.0,16872.0,458436.0,50659.0,601.0
2020-6-22,1112709.0,24388.0,482076.0,51407.0,748.0
2020-6-23,1152889.0,40180.0,486773.0,52771.0,1364.0
2020-6-24,1193934.0,41045.0,490152.0,53874.0,1103.0
2020-6-25,1234657.0,40723.0,529695.0,55054.0,1180.0
2020-6-26,1281622.0,46965.0,527987.0,56109.0,1055.0
2020-6-27,1317553.0,35931.0,544545.0,57103.0,994.0
2020-6-28,1346902.0,29349.0,555396.0,57658.0,555.0
2020-6-29,1372167.0,25265.0,556320.0,58385.0,727.0
2020-6-30,1410211.0,38044.0,560515.0,59656.0,1271.0
2020-7-01,1455150.0,44939.0,567571.0,60713.0,1057.0
2020-7-02,1503193.0,48043.0,525056.0,61990.0,1277.0
2020-7-03,1545233.0,42040.0,536064.0,63254.0,1264.0
2020-7-04,1580311.0,35078.0,537331.0,64365.0,1111.0
2020-7-05,1606552.0,26241.0,563037.0,64900.0,535.0
2020-7-06,1628064.0,21512.0,583893.0,65556.0,656.0
2020-7-07,1676708.0,48644.0,537611.0,66868.0,1312.0
2020-7-08,1718300.0,41592.0,532323.0,68055.0,1187.0
2020-7-09,1761260.0,42960.0,539539.0,69254.0,1199.0
2020-7-10,1806551.0,45291.0,550431.0,70524.0,1270.0
2020-7-11,1843070.0,36519.0,558066.0,71492.0,968.0
2020-7-12,1868465.0,25395.0,582802.0,72151.0,659.0
2020-7-13,1890275.0,21810.0,603842.0,72921.0,770.0
2020-7-14,1933573.0,43298.0,645799.0,74262.0,1341.0
2020-7-15,1973327.0,39754.0,642240.0,75523.0,1261.0
2020-7-16,2017210.0,43883.0,573613.0,76822.0,1299.0
2020-7-17,2051211.0,34001.0,606504.0,77932.0,1110.0
2020-7-18,2077793.0,26582.0,632201.0,78817.0,885.0
2020-7-19,2102473.0,24680.0,651711.0,79533.0,716.0
2020-7-20,2124249.0,21776.0,634796.0,80251.0,718.0
2020-7-21,2169191.0,44942.0,621624.0,81597.0,1346.0
2020-7-22,2234610.0,65419.0,619582.0,82890.0,1293.0
2020-7-23,2292761.0,58151.0,638317.0,84207.0,1317.0
2020-7-24,2351081.0,58320.0,673415.0,85385.0,1178.0
2020-7-25,2399374.0,48293.0,695398.0,86496.0,1111.0
2020-7-26,2422870.0,23496.0,701544.0,87052.0,556.0
2020-7-27,2446478.0,23608.0,691132.0,87679.0,627.0
2020-7-28,2487698.0,41220.0,677504.0,88634.0,955.0
2020-7-29,2558654.0,70956.0,681047.0,90188.0,1554.0
2020-7-30,2616996.0,58342.0,701524.0,91377.0,1189.0
2020-7-31,2669569.0,52573.0,692950.0,92568.0,1191.0
2020-8-01,2712199.0,42630.0,734532.0,93616.0,1048.0
2020-8-02,2737030.0,24831.0,758849.0,94130.0,514.0
2020-8-03,2755040.0,18010.0,748019.0,94702.0,572.0
2020-8-04,2811520.0,56480.0,744657.0,96096.0,1394.0
2020-8-05,2866272.0,54752.0,748217.0,97418.0,1322.0
2020-8-06,2921140.0,54868.0,774836.0,98644.0,1226.0
2020-8-07,2970703.0,49563.0,802607.0,99702.0,1058.0
2020-8-08,3017065.0,46362.0,822229.0,100543.0,841.0
2020-8-09,3039305.0,22240.0,819709.0,101136.0,593.0
2020-8-10,3061220.0,21915.0,795551.0,101857.0,721.0
2020-8-11,3116210.0,54990.0,769987.0,103099.0,1242.0
2020-8-12,3174362.0,58152.0,760622.0,104263.0,1164.0
2020-8-13,3233582.0,59220.0,771378.0,105564.0,1301.0
2020-8-14,3282916.0,49334.0,792043.0,106571.0,1007.0
2020-8-15,3321901.0,38985.0,810332.0,107297.0,726.0
2020-8-16,3344293.0,22392.0,803958.0,107879.0,582.0
2020-8-17,3367359.0,23066.0,780211.0,108654.0,775.0
2020-8-18,3416056.0,48697.0,751858.0,110019.0,1365.0
2020-8-19,3464657.0,48601.0,738214.0,111189.0,1170.0
2020-8-20,3509396.0,44739.0,743566.0,112423.0,1234.0
2020-8-21,3540826.0,31430.0,756617.0,113454.0,1031.0
2020-8-22,3587093.0,46267.0,763178.0,114277.0,823.0
2020-8-23,3610206.0,23113.0,785796.0,114772.0,495.0
2020-8-24,3631666.0,21460.0,737506.0,115451.0,679.0
2020-8-25,3678683.0,47017.0,713622.0,116666.0,1215.0
2020-8-26,3726570.0,47887.0,699966.0,117756.0,1090.0
2020-8-27,3769111.0,42541.0,703135.0,118726.0,970.0
2020-8-28,3817282.0,48171.0,720892.0,119594.0,868.0
2020-8-29,3851684.0,34402.0,724374.0,120498.0,904.0
2020-8-30,3867049.0,15365.0,714594.0,120896.0,398.0
2020-8-31,3915699.0,48650.0,696450.0,121515.0,619.0
2020-9-01,3957639.0,41940.0,675862.0,122681.0,1166.0
2020-9-02,4006331.0,48692.0,672027.0,123899.0,1218.0
2020-9-03,4051114.0,44783.0,678775.0,124729.0,830.0
2020-9-04,4096821.0,45707.0,692994.0,125584.0,855.0
2020-9-05,4128058.0,31237.0,705126.0,126230.0,646.0
2020-9-06,4142682.0,14624.0,698769.0,126686.0,456.0
2020-9-07,4152883.0,10201.0,670318.0,127001.0,315.0
2020-9-08,4170234.0,17351.0,645483.0,127517.0,516.0
2020-9-09,4204484.0,34250.0,622495.0,128653.0,1136.0
2020-9-10,4244965.0,40481.0,618053.0,129575.0,922.0
2020-9-11,4289234.0,44269.0,628105.0,130474.0,899.0
2020-9-12,4321153.0,31919.0,636458.0,131274.0,800.0
2020-9-13,4335768.0,14615.0,630147.0,131663.0,389.0
2020-9-14,4354880.0,19112.0,609579.0,132117.0,454.0
2020-9-15,4389678.0,34798.0,585343.0,133207.0,1090.0
2020-9-16,4427111.0,37433.0,572625.0,134174.0,967.0
2020-9-17,4462912.0,35801.0,574799.0,135031.0,857.0
2020-9-18,4502952.0,40040.0,577956.0,135857.0,826.0
2020-9-19,4533903.0,30951.0,577243.0,136565.0,708.0
2020-9-20,4550205.0,16302.0,562083.0,136895.0,330.0
2020-9-21,4565678.0,15473.0,541129.0,137350.0,455.0
2020-9-22,4600973.0,35295.0,517187.0,138159.0,809.0
2020-9-23,4633458.0,32485.0,501507.0,139065.0,906.0
2020-9-24,4665626.0,32168.0,501954.0,139883.0,818.0
2020-9-25,4698336.0,32710.0,516678.0,140709.0,826.0
2020-9-26,4723903.0,25567.0,531625.0,141441.0,732.0
2020-9-27,4738114.0,14211.0,536250.0,141776.0,335.0
2020-9-28,4754152.0,16038.0,527809.0,142161.0,385.0
2020-9-29,4786181.0,32029.0,508083.0,143010.0,849.0
